Open_price,High_price,Low_price,Close_price,Volume,Quote_asset_volume,Number_of_trades,buy_base_volume,buy_quote_volume,label
19268.16,19276.28,19241.11,19254.82,1594.4946,30714048.9240823,43212,782.5699,15074679.0446891,0
19255.66,19263.39,19223.49,19224.94,1426.94379,27458897.3084972,38140,678.6701,13060408.278189,1
19226.06,19237.67,19180.8,19182.13,1806.06596,34698393.2246193,47130,789.52124,15169314.6052591,1
19182.83,19218.46,19180.3,19216.48,1550.96942,29785559.5317976,42780,798.89273,15342703.2924485,0
19217.58,19225.85,19160.51,19171.28,1833.29841,35184576.2950217,49014,803.01529,15412115.2912421,2
19171.28,19190.29,19149.17,19167.96,2759.7166,52895089.8133255,66602,1254.89911,24053406.7460377,1
19167.96,19193.41,19140.01,19181.46,2387.24767,45762928.1725467,57694,1157.3588,22187806.6396323,2
19181.46,19204.38,19170.41,19200.84,1923.16279,36901127.2590047,47591,1039.7564,19951169.2283273,2
19201.42,19203.99,19149.43,19190.35,2119.48196,40640029.8945505,55124,1043.95972,20018360.6657382,2
19190.35,19194.78,19153.46,19172.93,1668.79183,31992947.2764236,44557,844.18253,16184881.1884769,2
19172.93,19173.24,19104.0,19143.04,3214.60212,61542712.7922976,75330,1566.8926,29999150.5522817,2
19144.1,19176.0,19143.04,19163.19,1883.48022,36089527.4582333,48681,1038.28366,19894531.8185792,1
19163.19,19167.6,19117.42,19142.58,1774.394,33971920.5991324,46059,889.42775,17029424.6495652,1
19142.57,19178.71,19133.47,19174.06,1573.31351,30148033.3686295,41432,839.80988,16092842.3202821,1
19173.38,19250.0,19118.64,19156.7,5710.48341,109618814.2531908,118441,2883.95339,55366971.7612453,1
19156.69,19172.05,19065.97,19123.8,5473.40638,104676906.8867724,117985,2555.34525,48875203.3969804,2
19124.71,19200.81,19100.01,19196.82,4044.42246,77470475.662853,92112,2083.07569,39903485.9321762,1
19197.89,19233.93,19177.97,19208.73,4014.40988,77108780.9481346,80911,2043.08903,39244989.6404779,1
19208.18,19221.6,19166.4,19187.81,3217.78663,61745798.2526545,65730,1583.17573,30381010.4014192,1
19188.86,19200.0,19146.01,19154.96,2944.8104,56458725.1125586,63194,1388.29328,26618361.6893435,1
19154.96,19224.61,19136.06,19221.96,3109.99402,59641510.2398374,67647,1644.00582,31531181.0711019,1
19221.96,19228.07,19180.34,19188.26,2519.61351,48392004.3833739,56665,1213.31536,23303780.4590998,1
19189.24,19232.13,19165.01,19223.6,2547.95949,48914644.9006405,57826,1310.76064,25165660.7336617,1
19222.58,19301.69,19209.32,19266.43,3603.83816,69390356.3931451,76116,1916.43634,36901383.4079302,1
19267.94,19279.31,19215.51,19248.73,2699.14107,51927725.0017704,61969,1294.583,24906655.7507424,0
19248.73,19249.72,19206.62,19211.78,1778.7802,34204550.5925146,45512,840.68475,16166301.021514,1
19211.08,19239.03,19190.98,19205.99,2324.88538,44672120.4397959,58173,1119.07925,21503975.3586059,1
19205.99,19215.0,19170.02,19179.27,1680.20099,32230853.8223167,47596,834.10145,16000367.5160697,1
19178.38,19187.12,19095.0,19145.63,4183.55569,80065677.7861787,92411,1846.55067,35342646.0423148,2
19145.63,19170.0,19122.62,19154.54,2248.33707,43054356.2806704,56088,1156.59885,22148699.537195,1
19154.54,19169.99,19139.91,19164.13,1541.31556,29526856.3230588,45833,769.4592,14740942.7848522,1
19164.13,19193.75,19151.52,19183.19,1584.1556,30372056.3997326,43433,834.15666,15993494.3575918,1
19183.19,19220.0,19171.25,19205.2,1927.20146,36998949.0956879,48643,1002.30779,19243337.114261,1
19206.46,19217.38,19175.56,19199.95,1334.30227,25615228.2584774,38778,660.84576,12686843.6444523,1
19199.14,19202.75,19164.0,19171.23,1396.80117,26796265.4730182,37642,660.66173,12674554.3722475,0
19171.23,19194.84,19167.57,19186.32,1085.83104,20831887.2078969,34331,560.42303,10752067.7584807,0
19186.32,19199.94,19152.37,19189.86,1704.80666,32698779.4647679,47463,840.77005,16126786.5322102,0
19190.83,19227.11,19179.07,19182.89,1732.64745,33276856.1642985,47475,935.5287,17968292.1245484,0
19183.81,19207.36,19163.8,19205.83,1473.93842,28282144.2766128,42254,730.50986,14017762.5103918,0
19205.9,19233.72,19185.6,19232.59,1691.6741,32488721.98731,45161,901.56986,17315554.2157184,0
19231.63,19249.51,19134.39,19190.93,3940.66641,75653235.7159913,89211,1959.83354,37628153.8489017,1
19189.91,19200.14,19174.51,19196.68,967.84725,18570776.8511393,32884,500.2603,9599123.3401292,0
19196.68,19220.0,19186.0,19189.24,1309.52104,25148880.6713848,35965,636.48706,12223992.1872593,0
19188.5,19199.8,19177.42,19194.71,754.13754,14471040.1465102,25575,392.42063,7530344.1339929,0
19193.9,19208.4,19190.2,19205.46,675.84712,12976944.4935637,25767,354.04544,6798117.5295855,0
19205.45,19206.41,19177.3,19183.93,519.27111,9965008.2144548,19203,238.81719,4583029.2621383,0
19183.52,19188.37,19156.21,19175.29,391.04286,7497727.1465727,17692,184.00455,3528108.7778662,0
19175.29,19206.41,19172.16,19194.37,649.37127,12463245.5658548,22540,389.35928,7473080.299461,0
19194.37,19198.96,19164.67,19179.99,955.77466,18329989.8590541,30317,439.61675,8431275.359888,0
19179.42,19199.5,19175.31,19182.77,1007.53144,19332672.3317154,31486,513.20452,9847696.4268871,0
19182.77,19189.06,19100.0,19130.77,2819.43473,53966039.1028331,68944,1207.43332,23114498.2716071,0
19130.77,19149.07,19108.89,19140.38,1687.31563,32273900.7095442,49343,846.36798,16189318.4075203,0
19141.05,19163.78,19127.0,19144.64,1310.52344,25093008.335383,41417,654.40395,12530464.4997932,0
19144.64,19158.79,19124.04,19135.11,1245.35969,23834168.6938281,36720,610.68971,11687907.2406044,0
19134.16,19152.32,19120.8,19148.72,998.94877,19116816.1034996,30413,524.93114,10045972.1183161,0
19148.72,19149.46,19084.23,19123.97,1623.06801,31033234.0705178,47706,779.80865,14910187.3953243,0
19123.35,19164.99,19111.2,19160.46,1616.01568,30918407.6401078,49328,834.86875,15973904.1611777,0
19160.46,19165.34,19126.99,19142.27,1308.29587,25040907.0263686,38358,668.53334,12795804.5318635,1
19141.02,19156.6,19073.59,19087.19,2136.63991,40832866.6386528,57438,987.2684,18868315.7649449,2
19087.19,19089.65,18900.0,18972.69,6644.7076,126163034.5785289,136836,2918.63619,55410614.2591425,2
18972.69,19009.69,18928.37,19003.31,2879.11977,54610534.8961768,75990,1501.58117,28482333.0213759,2
19004.24,19049.22,18972.2,19008.21,2593.8462,49303609.7975493,67652,1225.80006,23302309.0846802,2
19007.12,19040.96,19002.21,19019.96,1684.72641,32049635.8351645,46221,846.28193,16099563.9666152,2
19018.95,19054.62,19018.94,19047.02,1276.37521,24301504.6593087,38151,669.85193,12753884.68457,2
19047.02,19079.7,19014.83,19060.07,1616.15652,30784138.8560978,42715,855.16733,16289925.3846697,2
19060.24,19082.91,19053.28,19060.36,1153.67619,21995514.7616999,34023,588.42581,11219015.3948222,2
19060.36,19064.08,19043.56,19053.02,934.69058,17809420.6119305,31250,460.69102,8777955.3538114,2
19053.02,19071.94,19030.0,19062.77,1305.75835,24877359.7845251,35525,697.1612,13282814.3300337,2
19062.77,19068.24,19031.63,19033.2,1045.11143,19907337.1843663,29754,477.01515,9086464.2702537,2
19032.6,19045.8,19029.63,19036.34,1000.83832,19054061.2197496,29792,508.49987,9681114.5645022,2
19036.34,19042.47,19014.03,19033.47,1678.62609,31943499.8533888,43619,831.0222,15814323.4206292,2
19033.98,19055.91,19031.66,19042.09,949.38366,18081051.7652791,31782,473.76112,9022898.2862624,2
19043.2,19064.48,19037.66,19048.52,1350.49153,25727474.3195676,34232,767.04117,14612552.5529151,2
19048.09,19168.95,19043.01,19147.8,4362.50086,83444382.4736497,87520,2300.38762,44001522.277139,1
19148.36,19149.54,19109.0,19144.95,1912.06817,36580528.7285472,45593,955.13118,18273405.1550651,1
19144.63,19210.0,19141.7,19183.68,2748.46637,52705579.9556575,58141,1468.20664,28155478.7710576,0
19183.67,19199.88,19140.79,19174.44,2985.71279,57233255.6976621,67107,1507.63296,28902178.5802729,0
19174.44,19177.53,19126.12,19136.83,1961.76621,37564821.413233,49539,904.52896,17321434.1600594,1
19137.8,19138.86,19116.82,19134.34,1375.58365,26310173.4107465,39388,634.1793,12130164.9397017,1
19134.34,19154.99,19128.26,19141.23,1211.27121,23183474.4403601,38158,612.49928,11723405.5307303,2
19140.67,19146.61,19113.95,19124.63,1712.63626,32759513.0524235,42694,841.45168,16095838.0653023,1
19125.37,19131.95,19110.1,19125.84,1295.41848,24771706.1211575,36825,635.26676,12148371.0993764,1
19125.84,19129.5,19100.55,19104.24,1646.10613,31464010.7307261,41659,777.78027,14867083.0119263,2
19103.69,19134.81,19092.95,19133.03,1471.12084,28118831.0081016,39946,794.78576,15191757.1973464,2
19132.25,19150.7,19094.74,19120.01,2490.62325,47627792.2291456,58865,1250.12638,23906934.6882358,2
19120.38,19154.56,19118.52,19137.18,1560.87758,29870340.8042188,44815,818.33099,15660722.621994,2
19137.97,19150.72,19118.67,19147.37,1677.77483,32101881.1459554,44416,835.97022,15995425.940863,2
19147.76,19167.95,19137.63,19145.94,1895.50567,36302618.3214558,44587,963.68589,18456759.0801242,2
19145.1,19167.56,19130.0,19131.67,1606.43648,30762073.4164341,39916,835.80662,16005184.2870975,2
19131.05,19147.95,19128.8,19133.07,1106.08835,21168074.9640988,31387,547.49142,10478125.2870884,2
19133.07,19144.0,19109.89,19143.04,1407.48829,26924737.7465705,39720,701.22482,13414796.7028926,1
19143.04,19145.0,19106.22,19114.67,1654.66192,31645225.9658105,41818,742.72324,14204914.9834481,1
19114.67,19130.0,19105.99,19127.35,1208.39809,23104064.6992234,36908,626.2033,11973010.6365032,1
19127.35,19145.97,19126.0,19140.12,1144.96493,21910189.6797516,35188,638.35209,12215709.3107816,1
19140.12,19163.6,19140.12,19153.82,1577.84841,30219880.1324643,42941,840.41765,16096660.8249941,1
19153.82,19195.31,19152.44,19185.79,2454.26188,47061655.0384653,56631,1297.43693,24879328.6723983,1
19186.29,19195.66,19131.79,19149.99,2166.81434,41540888.409328,57487,1074.11561,20593445.7489552,2
19149.96,19162.49,19138.82,19160.4,1216.04683,23288775.5053525,37119,613.27275,11745293.6409965,2
19161.0,19253.33,19157.1,19234.01,3683.0223,70748453.1298181,77361,1999.1272,38400020.5715192,2
19233.21,19243.35,19175.0,19202.48,4070.42762,78201793.4286924,82071,1906.97114,36640041.8458902,2
19202.48,19223.95,19186.8,19199.36,2335.15797,44843881.7237488,59473,1112.76114,21370321.982494,2
